Name,W,L,ERA,G,GS,SV,IP,H,HR,BB,SO,WAR 2002
Jimmy Osting\ostinji01,0,0,0,3,0,0,2,1,0,2,3,-0.1
Chris Donnels\donnech01,0,0,0,1,0,0,0.1,0,0,0,0,-0.1
Travis Smith\smithtr01,0,0,0,1,0,0,2,1,0,0,1,-1.2
Jesse Orosco\oroscje01,84,76,3.04,1131,4,141,1234.1,990,105,548,1128,0.5
Jose Rijo\rijojo01,111,87,3.15,345,260,3,1803,1621,134,643,1568,-0.2
Michael Jackson\jacksmi02,58,64,3.35,902,7,142,1086.2,869,115,436,951,1.2
John Smoltz HOF\smoltjo01,160,116,3.35,392,361,10,2473.1,2145,202,784,2155,1.2
Mike James\jamesmi01,16,14,3.6,275,0,11,302.2,273,28,144,237,-0.1
Todd Jones\jonesto02,35,33,3.62,528,0,183,598.2,566,52,285,540,0.5
Steve Reed\reedst01,38,26,3.67,607,0,17,641.2,583,84,217,488,1.8
Ismael Valdez\valdeis01,72,74,3.7,224,197,1,1295.2,1264,146,376,930,0.2
Rich Rodriguez\rodriri02,28,20,3.77,570,2,7,620.1,624,61,249,381,0.1
Chan Ho Park\parkch01,80,54,3.8,221,176,0,1183.2,1001,124,560,1098,0.5
Jay Powell\powelja04,29,20,3.81,382,0,22,406.2,393,27,199,330,0.4
T.J. Mathews\mathet.01,32,26,3.84,350,0,16,417,387,47,159,344,0.4
Mark Wohlers\wohlema01,36,25,3.85,469,0,112,482,419,31,246,511,0.2
Shigetoshi Hasegawa\hasegsh01,30,27,3.85,287,8,16,442.1,436,58,170,300,1.4
Dennis Cook\cookde01,63,45,3.93,628,71,9,987.2,929,128,380,726,0.4
Rick White\whiteri01,22,31,3.93,280,18,11,476.1,497,44,151,305,0.9
Justin Thompson\thompju02,36,43,3.98,101,101,0,647,629,71,235,427,-0.2
Ricky Bottalico\bottari01,27,35,4,430,0,114,488.2,428,58,248,459,0.3
Steve Karsay\karsast01,25,34,4,243,40,29,477.1,495,44,157,370,-0.3
Anthony Telford\telfoan01,20,24,4.04,313,9,7,431.2,445,45,161,312,-0.4
Terry Adams\adamste01,37,43,4.04,385,22,39,581.1,581,40,261,484,-0.4
Hideo Nomo\nomohi01,82,71,4.05,216,214,0,1348.2,1162,163,612,1432,2.6
Jason Christiansen\chrisja01,17,21,4.07,354,0,13,321,289,26,161,318,-0.1
David Wells\wellsda01,166,114,4.08,495,325,13,2407.1,2462,285,559,1635,3.8
Donne Wall\walldo01,31,28,4.09,217,37,2,453,451,59,148,309,-0.4
Toby Borland\borlato02,9,8,4.11,167,0,8,228,228,17,121,178,-0.1
Josias Manzanillo\manzajo01,10,10,4.12,219,1,5,286,251,28,129,257,-0.2
Jason Isringhausen\isrinja01,28,29,4.13,211,52,76,499.1,503,42,215,376,1.1
Hector Carrasco\carrahe01,28,36,4.17,458,1,15,567,556,40,279,455,0.2
Alberto Reyes\reyesal01,15,8,4.22,192,0,3,236.2,207,31,126,225,0.4
Mike Morgan\morgami01,140,185,4.22,568,411,8,2738.1,2902,263,929,1390,-0.1
John Burkett\burkejo03,141,119,4.23,384,364,1,2293.2,2465,212,603,1535,1
Ed Vosberg\vosbeed01,10,15,4.26,262,3,13,232.1,247,21,108,179,-0.2
Joey Hamilton\hamiljo02,70,63,4.29,200,192,0,1205.1,1251,116,438,802,-0.3
Rudy Seanez\seaneru01,16,13,4.32,242,0,11,245.2,214,24,130,238,-0.6
Aaron Sele\seleaa01,107,68,4.33,242,241,0,1466.1,1580,137,548,1082,0
Brian Boehringer\boehrbr01,16,23,4.36,203,21,2,367.1,366,46,194,300,1.4
Juan Acevedo\aceveju01,26,30,4.41,263,34,19,457,477,62,185,279,1.2
Hipolito Pichardo\pichahi01,50,43,4.41,349,68,20,769.1,835,54,285,394,-0.3
Alan Benes\benesal01,27,23,4.42,101,59,0,431.1,414,54,194,349,0.2
Mike Williams\willimi03,29,41,4.43,341,55,70,644,644,78,281,502,1.1
Dave Burba\burbada01,105,80,4.46,408,211,1,1512,1510,173,660,1218,0.7
Joey Eischen\eischjo01,1,3,4.49,95,0,0,120.1,129,12,62,88,2
Jason Schmidt\schmija01,56,54,4.5,162,153,0,949.2,984,95,405,728,2.4
Pedro Astacio\astacpe01,103,96,4.5,308,265,0,1742.2,1798,218,572,1366,0.8
Chris Hammond\hammoch01,46,55,4.54,191,136,1,843.2,902,81,313,513,2.7
Mike Holtz\holtzmi01,14,18,4.56,301,0,3,203.1,200,20,97,195,-0.2
Paul Byrd\byrdpa01,35,35,4.59,163,75,0,564.2,572,83,205,344,5.6
Dan Miceli\micelda01,33,36,4.72,439,9,32,494,494,64,222,449,-0.3
Eddie Oropesa\oropeed01,1,0,4.74,30,0,0,19,16,1,17,15,-1.4
Rick Helling\helliri01,72,58,4.75,201,171,0,1111.2,1129,177,436,766,2
Sterling Hitchcock\hitchst01,67,67,4.75,222,187,3,1137.1,1204,158,416,884,-0.2
Albie Lopez\lopezal02,42,52,4.75,252,88,4,763,831,104,308,504,0
David Weathers\weathda01,38,46,4.81,400,67,7,768.2,863,70,345,537,1.2
Chris Brock\brockch01,16,16,4.82,126,30,1,291,309,50,123,206,0.1
Jose Mercedes\mercejo02,33,39,4.82,140,79,0,575.2,611,75,218,307,0.1
Alan Embree\embreal01,18,19,4.86,364,4,4,346,333,47,156,317,0.8
Scott Service\servisc01,19,19,4.9,284,1,15,361.2,373,47,164,361,0.2
Ron Villone\villoro01,29,31,4.91,274,57,5,566,560,72,321,443,-0.7
James Baldwin\baldwja01,72,59,4.98,196,177,0,1095,1176,160,412,719,0.1
Rodney Myers\myersro01,6,4,4.99,148,1,1,207.1,225,26,96,144,-0.8
Mike Thurman\thurmmi01,25,36,5.04,93,85,0,460.2,492,57,178,273,0.2
Joe Borowski\borowjo01,5,8,5.09,58,1,0,70.2,84,7,44,34,2.3
Amaury Telemaco\telemam01,22,28,5.13,162,56,0,450.2,475,73,160,295,0.4
Bill Pulsipher\pulsibi01,13,19,5.13,101,46,0,323,356,44,139,201,-0.1
Manny Aybar\aybarma01,16,18,5.14,168,28,3,348.1,362,43,159,233,0
Dennis Springer\sprinde01,24,47,5.17,129,98,1,654,701,108,256,295,0
Carlos Almanzar\almanca01,6,9,5.23,129,0,0,149.2,170,25,51,116,0.2
Aaron Small\smallaa01,15,10,5.23,138,3,4,201.1,241,19,92,112,0
Tom Martin\martito02,8,5,5.32,120,0,2,130.1,149,14,63,86,-0.1
Will Cunnane\cunnawi01,9,8,5.35,139,12,0,215.1,253,28,105,173,-0.1
Todd Williams\willito02,3,3,5.37,50,0,0,53.2,67,6,29,32,0.9
C.J. Nitkowski\nitkoc.01,16,30,5.37,270,44,3,419.1,446,53,224,300,0.4
Joe Roa\roajo01,2,6,5.4,30,4,0,73.1,99,9,25,34,0.4
Trever Miller\milletr02,5,6,5.43,105,5,2,136,170,16,70,86,0.5
Brian Meadows\meadobr01,36,44,5.45,105,104,0,599.1,743,95,179,260,0.8
Robert Ellis\ellisro02,6,5,5.47,22,17,0,97,106,12,38,46,-0.1
Jimmy Haynes\hayneji01,46,64,5.48,170,147,1,894.2,1004,110,456,579,2.5
Dave Maurer\maureda01,1,0,5.49,17,0,0,19.2,23,3,9,17,-0.1
Todd Van Poppel\vanpoto01,30,43,5.5,245,82,3,670.2,677,99,385,520,0.3
Pat Mahomes\mahompa01,41,37,5.57,283,60,5,654,683,111,363,416,0.4
Chris Nichting\nichtch01,0,3,5.59,63,0,1,75.2,104,9,26,53,0.3
Julio Santana\santaju01,11,21,5.71,123,42,0,371.2,427,55,176,217,1.6
Matt DeWitt\dewitma01,1,2,5.79,24,0,0,32.2,42,6,19,19,0.2
Leo Estrella\estrele01,0,0,5.79,2,0,0,4.2,9,1,0,3,0.8
Kevin Tolar\tolarke01,0,0,5.93,14,0,0,13.2,8,0,14,14,-0.2
Peter Munro\munrope01,1,3,6,40,5,0,81,108,7,39,54,1.4
Dan Serafini\serafda01,14,13,6.06,91,29,1,233.1,294,32,102,114,-0.5
Pete Walker\walkepe01,1,0,6.07,19,0,0,29.2,40,4,12,12,0
Dan Smith\smithda07,4,9,6.1,22,17,0,93,106,12,42,73,0.7
Jason Boyd\boydja02,0,1,6.13,34,0,0,39.2,44,2,26,36,-1.3
Andrew Lorraine\lorraan01,6,10,6.18,54,25,0,163,196,24,77,103,-0.6
Ryan Glynn\glynnry01,8,16,6.42,41,35,0,189.1,237,32,102,87,0.4
Brian Powell\powelbr01,5,10,6.48,28,22,0,118,140,26,52,63,0.3
Nerio Rodriguez\rodrine01,4,6,6.49,29,7,0,68,76,7,34,36,0
Everett Stull\stullev01,2,4,6.65,24,4,0,47.1,50,8,36,35,-0.1
Jamie Walker\walkeja01,3,4,6.71,56,2,0,60.1,76,11,23,39,0.8
Brian Shouse\shousbr01,0,1,6.75,13,0,0,12,16,3,6,8,0.1
Kirk Bullinger\bulliki01,1,0,7.3,15,0,0,12.1,20,1,2,6,-0.2
David Lundquist\lundqda01,1,2,7.34,34,0,0,41.2,48,4,19,37,-0.4
Matt Miller\millema01,0,0,7.45,13,0,0,9.2,16,0,4,6,-0.2
Kevin Beirne\beirnke01,1,3,7.46,34,1,0,56.2,63,10,26,46,0.3
Gabe Molina\molinga01,1,2,7.58,31,0,0,38,50,7,26,23,0.3
Jonathan Johnson\johnsjo08,1,1,7.71,22,1,0,46.2,61,5,33,40,0
Jay Tessmer\tessmja01,1,0,7.77,20,0,0,22,29,5,9,14,0
Mark Watson\watsoma03,0,1,8.53,6,0,0,6.1,12,0,2,4,-0.5
Mike Porzio\porzimi01,0,0,8.59,16,0,0,14.2,21,5,10,10,0
Rodrigo Lopez\lopezro02,0,3,8.76,6,6,0,24.2,40,5,13,17,3.8
Bryan Corey\coreybr01,0,0,9,3,0,0,4,6,1,2,1,0
Tim Harikkala\harikti01,1,2,9.15,9,1,0,20.2,26,2,9,9,0.9
Craig Dingman\dingmcr01,0,0,9.33,17,0,1,18.1,29,5,6,10,-0.5
Ben Ford\fordbe01,0,1,9.43,12,2,0,21,27,3,10,10,-0.3
Juan Alvarez\alvarju01,0,1,10,19,0,0,9,15,3,11,6,0.4
Jason Phillips\phillja03,0,0,11.57,6,0,0,7,11,2,6,7,0.5
Brandon Villafuerte\villabr01,0,0,12.6,9,0,0,10,16,3,8,5,1.9
John Mabry\mabryjo01,0,0,63,2,0,0,1,6,0,4,0,1.9
