NAME,Jorge Velandia,Damon Hollins,Ryan Jackson,Todd Dunwoody,David Lamb,Adam Melhuse,Ryan Freel,Matt Franco,Brian Banks,Kevin Witt,Greg Myers,Mike Colangelo,Ryan McGuire,Kevin Orie,Jorge Fabregas,Hector Ortiz,Izzy Molina,Mike Coolbaugh,Andy Abad,Andy Sheets,Walt McKeel,Jose Vizcaino,Brian Hunter,Delino DeShields,Ryan Thompson,Marty Cordova,Benito Santiago,Luis Ordaz,Orlando Merced,Mark McLemore,Mendy Lopez,Javy Lopez,Chris Gomez,Bret Boone,Luis Alicea,Bill Selby,Gregg Zaun,Vinny Castilla,Craig Paquette,Marty Malloy,Todd Pratt,Dave Hollins,Rondell White,Yamid Haad,Ricky Gutierrez,Julio Franco,Roger Cedeno,Chad Mottola,Tino Martinez,Brian Lesher,Chuck Knoblauch,Jason Giambi,Danny Bautista,Adam Riggs,Mark Johnson,Moises Alou,Johnny Damon,Mike Caruso,Danny Ardoin,Angel Echevarria,Wilson Delgado,Chris Stynes,Scott Hatteberg,Donnie Sadler,Luis Sojo,Reggie Sanders,Keith Lockhart,Juan Gonzalez,Quinton McCracken,Emil Brown,Randy Velarde,Darren Lewis,Eric Young,Marcus Jensen,Ron Gant,Tony Tarasco,Chan Perry,Kevin Brown,Matt Stairs,David Bell,Ron Coomer,Larry Sutton,Julio Mosquera,Ricky Ledee,John Valentin,Pokey Reese,Aaron Holbert,Deivi Cruz,Chris Widger,Kenny Lofton,Brooks Kieschnick,Robinson Cancel,Manny Alexander,Dave Berg,Al Martin,Midre Cummings,Israel Alcantara,Bruce Aven,Rickey Henderson HOF,Pedro Swann,David Newhan,Sandy Martinez,Mandy Romero,Tim Raines HOF,Mark Smith,Rey Sanchez,Curtis Pride,Andres Galarraga,Jason Wood,Ernie Young,Matt Walbeck,Chad Allen,Eddie Perez,Troy O'Leary,Donzell McDonald,Ruben Rivera,Darren Bragg,Pat Borders,Sal Fasano,,
ACTUAL,-0.1,0.2,-0.7,0.1,-0.3,-1,0,1.2,0.1,-0.1,0.8,-0.5,0.1,-0.1,-0.4,0.1,0,-0.2,0,-0.7,-0.2,-0.1,0.6,0.4,-0.3,2.6,0.4,0.3,0,3.5,0.1,1.5,0.3,8.8,0.3,-0.5,1.1,1.4,0.7,-0.4,-0.5,0,2.1,-0.5,2.3,0.8,0.8,-0.2,2.2,-0.4,0.9,9.2,0.7,-0.2,0.3,2.9,2.4,-0.3,-0.2,-0.4,-0.2,1.1,-1.2,-0.3,-0.7,3.2,-0.4,4.4,-0.4,0.1,1.9,0,1.2,-0.2,0.4,0.7,-0.2,0,1.5,3.3,-0.7,-0.4,0,-0.9,0,-0.2,-0.3,-0.3,0.2,1.9,-0.1,0.1,0,0,1.1,0.1,-0.3,0.2,0.5,-0.2,0.1,-0.1,0.1,0.6,-0.1,3.4,-0.1,0.1,0.3,-0.2,0.1,0,0,-0.6,0,1.1,0,0.1,-0.1,,
KNN5,0.02,-0.1,-0.28,0.2,-0.62,-0.38,-0.02,2.04,0.32,-0.24,-0.68,-0.14,-0.32,6.04,-0.22,-0.2,-0.6,-0.36,0,-0.5,-0.02,-1.06,0.38,0.38,0.14,1.86,0.26,0.04,0.26,2.24,4.47E-09,0.78,1.06,4.56,0.2,-0.18,0.74,1.46,0.44,-0.16,-0.32,0.04,1.72,0,1.58,0.7,2.08,-0.1,2.52,-0.06,0.9,6.68,0.22,-0.18,0.2,2.88,1.82,6.04,-0.18,-0.36,-0.24,0.82,0.82,-0.6,-0.34,2.66,-0.3,4.1,-0.24,-0.18,-0.44,-0.06,2.48,-0.2,0.48,6.04,-0.18,0.18,1.76,1.3,0.26,-0.12,-0.16,0.16,-0.26,1.22,-0.02,-0.06,6.04,1.5,-0.4,-0.4,6.04,-0.18,0.4,0.04,-0.28,0.18,2,-0.02,0.06,0,-0.52,0.08,0.84,-0.34,0.2,1,0.04,4.34,0.08,0.62,-0.06,0.48,0.02,-0.08,0.02,0.12,0.34,,
KNN10,-0.08,-0.05,-0.37,0.24,-0.21,-0.22,-0.03,2.09,0.2,-0.05,-0.22,-0.17,-0.35,4.61,-0.18,-0.25,-0.59,-0.18,0,-0.35,-0.01,-0.46,0.44,0.45,0.09,2.06,0.07,0.16,0.13,2.12,-0.13,0.97,1.16,5.26,0.41,-0.26,1.18,1.72,0.82,-0.14,-0.24,0.03,1.24,0,1.66,0.41,2.1,-0.08,3.3,0.3,1.56,6.66,0.35,-0.18,-0.02,3.64,2.41,4.61,-0.13,-0.28,-0.28,0.79,0.41,-0.33,-0.08,2.59,-0.43,4.47,-0.2,-0.15,-0.38,-0.04,1.96,-0.08,-0.14,5.33,-0.17,0.16,1.39,1.24,0.59,-0.16,-0.16,0.23,-0.32,0.65,-0.02,0.06,4.61,1.43,-0.2,-0.29,4.61,-0.31,0.71,0.01,-0.14,0.14,1.85,0,-0.02,0,-0.31,-0.02,0.39,-0.22,0.34,0.75,-0.06,5.06,0.09,0.32,0.07,-0.00999999,0.01,-0.08,-0.01,0.07,0.26,,
KNN15,-0.106667,-0.0933333,-0.213333,0.186667,-0.153333,-0.293333,-0.14,2.77333,0.406667,0.04,-0.18,-0.206667,-0.406667,4.95333,-0.133333,-0.206667,-0.48,-0.1,-0.02,-0.3,0,-0.413333,0.28,0.4,0.0666667,1.82,0.313333,0.133333,-0.02,2.08667,-0.00666666,1.24,1.16,5.48,0.42,-0.206667,0.773333,1.70667,0.86,-0.206667,-0.28,0.0266667,1.18,-0.02,2.00667,0.44,1.82,-0.0666667,3.22667,0.186667,1.20667,6.05333,0.226667,-0.213333,-0.0933333,3.48667,2.66667,4.95333,-0.113333,-0.386667,-0.233333,0.733333,0.0333334,-0.326667,-0.1,2.64,-0.193333,4.56,-0.226667,-0.0933333,-0.22,-0.0666667,1.75333,-0.113333,0.0333333,4.86667,-0.153333,0.06,1.42667,1.31333,0.52,-0.166667,-0.08,0.16,-0.246667,0.353333,-0.0133333,0.44,5.16,1.50667,-0.0666667,-0.133333,4.86667,-0.106667,0.7,0.02,-0.08,0.0533333,1.76,-0.0133333,-0.00666667,-0.02,-0.14,-0.0133333,0.413333,-0.173333,0.226667,0.573333,-0.06,4.59333,0.0933333,0.366667,0.0466667,0.393333,0.02,0.286667,-0.02,0.0466667,0.2,,
NN25,-0.213426705,0.076671044,-0.519155424,-0.254942304,0.006887835,-0.423376542,0.338088596,6.951515468,0.737597503,0.181327938,0.114711726,-0.055672856,1.178615835,2.072085502,-0.452372051,-0.194024722,-0.909905829,-0.124764912,0.017241159,-0.535859657,-0.024443749,0.705288983,0.620403148,1.009104499,-0.415996689,2.746977415,0.444834337,-0.017770938,2.488974373,3.906793438,-0.051082117,1.290028666,1.468613328,6.988930387,1.079429119,-0.127525982,0.900895398,2.369294389,1.753838535,0.001168349,0.01337154,-0.079467218,2.158282582,0.017241159,2.938457843,0.607193151,3.658814442,-0.233625501,3.836173762,0.543986862,1.917463887,7.680373732,0.844214296,-0.082137542,0.867431713,5.218488317,3.23356121,4.102806969,-0.149643658,-0.099389798,-0.395184237,1.628679821,0.50044147,-0.516744451,-0.587875153,3.59308121,-0.563878082,5.975254264,-0.133750108,-0.263755949,-0.26265496,0.201211417,3.424614102,-0.040721863,0.502043632,2.452547331,0.055963207,0.532678224,1.563285435,1.61995763,0.460779447,0.285703239,0.184842169,0.578703452,-0.038057765,0.492807003,-0.223088725,0.641771268,1.520494638,3.134948672,0.57290269,-0.118326447,0.832823736,0.08788658,1.08131732,-0.468647585,0.052202834,-0.489371809,2.210224433,-0.057426977,0.42559773,0.017241159,-0.224641033,0.113419491,0.430279406,-0.571853663,0.086400292,0.896341752,0.004384007,1.366590563,0.240849416,0.529930589,0.197613864,1.112853977,0.252156095,0.753482152,0.250079232,-0.04399573,0.267807791,,
NN50,-0.15790211,-0.028842676,-0.172922996,0.146112444,-0.09337005,-0.248511999,0.083267089,2.550101057,-0.543599027,-0.084767341,0.227041939,0.100208926,-0.398604493,1.863398858,-0.229002727,0.123407088,-0.048056088,-0.116886698,0.009502895,-0.700483068,-0.124538075,0.736831237,0.271289308,0.88863861,0.032359463,2.454901614,-0.676697492,0.03476244,-0.403450627,3.422363272,-0.07719865,1.598073021,1.152966038,5.149987009,0.924037049,0.053772046,0.91585349,2.064248721,1.400517738,0.051182211,0.092306212,-0.002901897,2.040906914,0.009502895,2.181264497,0.519908932,3.105701292,-0.211145136,3.279560949,0.564573999,1.885259491,8.815130495,1.239311872,-0.11665792,-0.273596788,4.826626392,1.476413088,2.045789041,-0.226253059,0.58549661,-0.09263963,1.340312322,0.255461777,0.506565339,-0.325053296,2.755845928,0.474999825,4.346961549,0.027617224,-0.137798711,-0.097713877,0.701662445,2.527982362,-0.167922835,0.027348547,1.576628666,-0.093844352,0.099833148,0.921647665,1.608545376,0.478925435,-0.145963501,-0.053497841,0.03878887,-0.005253478,1.024894859,-0.146718659,-0.695803457,2.935959132,2.241065366,-0.188420226,-0.203013135,0.858989968,0.410135855,0.35308276,0.220073575,0.099905342,0.252010206,1.908458613,-0.125106082,0.09878687,0.009502895,0.068462832,-0.008581648,0.353562881,-0.576805956,0.008266335,0.57649631,-0.368619314,1.171832165,0.117903466,0.43282023,0.118326712,1.015347594,0.117356418,0.705848474,0.114736252,0.190715228,0.304351095,,
NN100,-0.07215166,-0.058775298,-0.306094365,-0.392998917,-0.472872443,-0.02567735,0.165951502,-3.417602735,-0.262095708,-0.041670569,-0.042986213,-0.196624075,-0.056606886,-0.55162818,-0.998284262,-0.427250528,-0.827760982,-0.207966902,-0.023066418,-0.67478746,-0.118000658,-0.709346689,0.877724635,0.943341152,-0.050294332,1.711946909,-0.782366006,-0.218316534,1.01429992,1.511469068,-0.018833404,0.408546644,0.836733936,4.376846161,0.15261565,-0.3960523,0.854060543,0.928099554,0.718541578,-0.135460024,0.240649653,0.048457549,1.710892716,-0.023066418,1.486391338,0.560307023,1.564682713,-0.016332282,1.873432916,-0.01977046,0.80976876,7.75583983,0.275298414,-0.182453702,0.161366577,3.658684303,1.048527866,0.651250497,0.077723524,-0.33723356,-0.0265338,0.855484974,-0.249616998,-0.863908133,-0.325413593,2.612730253,-0.915796684,3.386333571,-0.288930574,-0.030029721,-0.130388553,-0.149865321,1.651923019,-0.251961997,0.208277783,1.554066399,-0.129525131,0.045537955,0.231970891,0.603030605,-0.608007799,-0.386105567,-0.178714513,-0.469912906,-0.092877505,-0.085654857,-0.011306274,-0.43425595,-1.948175529,1.415712183,0.207189507,-0.362493322,-1.615075573,-0.551422744,0.306287607,-0.268268062,0.059894101,-0.179617175,1.265523308,-0.097424773,0.063879058,-0.023066418,-0.201574377,0.131720539,-0.140288136,-0.919503443,0.37801124,0.084832173,-0.17274963,-0.719144356,0.12818705,0.106433279,-0.037892138,0.286639696,-0.010460553,0.284994893,-0.033115054,0.025069998,0.108587322,,
BAY0.01,-0.063142349,-0.035651472,-0.169032739,-0.136697525,-0.128573035,-0.319135683,0.065918776,0.666136059,0.590199404,0.06770167,0.168733939,0.026404092,-0.099838518,0.643327433,-0.555652352,-0.261293192,-0.633941522,-0.098056476,0.054207649,-0.672915386,0.006404764,0.511092917,0.706073104,0.947499992,0.139394145,2.223872735,-0.126059134,0.017629026,0.483531654,2.977022901,-0.020332322,0.835465053,1.05741271,5.565901114,0.598333198,-0.173053944,0.909142921,1.624641231,1.258221896,-0.031834599,0.057579271,0.047936567,2.022564396,0.054207649,1.87614974,0.552716504,2.868980463,-0.021463394,2.86775056,0.27896452,1.361021639,7.270825959,0.83889991,-0.124227512,0.429195859,4.474412903,1.869722101,1.807153873,-0.073137377,0.115581404,-0.187713247,1.097725547,0.147641012,-0.547427171,-0.574474418,2.982707246,-0.348228819,4.647509582,-0.119711339,-0.038424364,-0.212702371,0.263489266,2.27712386,-0.198283194,0.368559819,1.850951437,-0.140083187,0.12808562,1.264935378,0.797639086,0.055759449,-0.370336519,-0.063343499,-0.142130845,-0.020870116,0.023090657,0.014068434,-0.149120056,0.233495706,1.888526514,0.112332294,-0.195623203,-0.600410375,-0.032890918,0.581844655,0.040434138,0.055094521,0.182576068,1.574193316,0.029539839,0.120266521,0.054207649,-0.114870054,0.090555453,0.37716817,-0.545935835,0.126066708,0.619785973,0.018681831,0.516335461,0.093087214,0.375352434,0.053238362,0.459483658,0.063892175,0.673959273,0.065109003,0.150736753,0.222751845,,
BAY1e-06,-0.063142355,-0.035651471,-0.169032729,-0.136697526,-0.12857302,-0.319135679,0.065918779,0.666136041,0.590199413,0.067701674,0.168733937,0.026404091,-0.099838509,0.643327438,-0.555652347,-0.261293192,-0.633941533,-0.09805647,0.05420764,-0.672915379,0.006404755,0.511092915,0.706073105,0.947499993,0.139394152,2.223872725,-0.126059147,0.017629031,0.483531665,2.977022934,-0.020332316,0.835465042,1.057412723,5.565901128,0.598333189,-0.173053938,0.90914291,1.624641237,1.258221907,-0.0318346,0.057579272,0.047936566,2.022564367,0.05420764,1.876149753,0.552716504,2.868980446,-0.021463398,2.867750559,0.27896453,1.36102162,7.270825932,0.8388999,-0.124227514,0.429195867,4.474412891,1.869722112,1.807153885,-0.073137371,0.115581391,-0.18771325,1.097725538,0.14764102,-0.547427157,-0.574474408,2.982707245,-0.348228826,4.647509614,-0.119711336,-0.038424367,-0.212702371,0.263489261,2.277123853,-0.198283195,0.368559833,1.850951432,-0.140083192,0.12808563,1.264935385,0.797639095,0.055759453,-0.370336519,-0.063343497,-0.142130803,-0.020870112,0.023090655,0.014068425,-0.149120043,0.233495666,1.888526543,0.112332299,-0.195623195,-0.600410335,-0.032890921,0.581844679,0.040434138,0.055094521,0.182576071,1.574193341,0.02953983,0.12026653,0.05420764,-0.114870053,0.090555463,0.377168167,-0.545935836,0.126066711,0.619785986,0.018681839,0.516335466,0.093087241,0.375352435,0.053238362,0.459483677,0.063892178,0.673959269,0.065109009,0.15073676,0.22275185,,
BAY1e-11,-0.063142355,-0.035651471,-0.169032729,-0.136697526,-0.12857302,-0.319135679,0.065918779,0.666136041,0.590199413,0.067701674,0.168733937,0.026404091,-0.099838509,0.643327438,-0.555652347,-0.261293192,-0.633941533,-0.09805647,0.05420764,-0.672915379,0.006404755,0.511092915,0.706073105,0.947499993,0.139394152,2.223872725,-0.126059147,0.017629031,0.483531665,2.977022934,-0.020332316,0.835465042,1.057412723,5.565901128,0.598333189,-0.173053938,0.90914291,1.624641237,1.258221907,-0.0318346,0.057579272,0.047936566,2.022564367,0.05420764,1.876149753,0.552716504,2.868980446,-0.021463398,2.867750559,0.27896453,1.36102162,7.270825932,0.8388999,-0.124227514,0.429195867,4.474412891,1.869722112,1.807153885,-0.073137371,0.115581391,-0.18771325,1.097725538,0.14764102,-0.547427157,-0.574474408,2.982707245,-0.348228826,4.647509614,-0.119711336,-0.038424367,-0.212702371,0.263489261,2.277123853,-0.198283195,0.368559833,1.850951432,-0.140083192,0.12808563,1.264935385,0.797639095,0.055759453,-0.370336519,-0.063343497,-0.142130803,-0.020870112,0.023090655,0.014068425,-0.149120043,0.233495666,1.888526543,0.112332299,-0.195623195,-0.600410335,-0.032890921,0.581844679,0.040434138,0.055094521,0.182576071,1.574193341,0.02953983,0.12026653,0.05420764,-0.114870053,0.090555463,0.377168167,-0.545935836,0.126066711,0.619785986,0.018681839,0.516335466,0.093087241,0.375352435,0.053238362,0.459483677,0.063892178,0.673959269,0.065109009,0.15073676,0.22275185,,
Difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
