NAME,Jorge Velandia,Damon Hollins,Ryan Jackson,Todd Dunwoody,David Lamb,Adam Melhuse,Ryan Freel,Matt Franco,Brian Banks,Kevin Witt,Greg Myers,Mike Colangelo,Ryan McGuire,Kevin Orie,Jorge Fabregas,Hector Ortiz,Izzy Molina,Mike Coolbaugh,Andy Abad,Andy Sheets,Walt McKeel,Jose Vizcaino,Brian Hunter,Delino DeShields,Ryan Thompson,Marty Cordova,Benito Santiago,Luis Ordaz,Orlando Merced,Mark McLemore,Mendy Lopez,Javy Lopez,Chris Gomez,Bret Boone,Luis Alicea,Bill Selby,Gregg Zaun,Vinny Castilla,Craig Paquette,Marty Malloy,Todd Pratt,Dave Hollins,Rondell White,Yamid Haad,Ricky Gutierrez,Julio Franco,Roger Cedeno,Chad Mottola,Tino Martinez,Brian Lesher,Chuck Knoblauch,Jason Giambi,Danny Bautista,Adam Riggs,Mark Johnson,Moises Alou,Johnny Damon,Mike Caruso,Danny Ardoin,Angel Echevarria,Wilson Delgado,Chris Stynes,Scott Hatteberg,Donnie Sadler,Luis Sojo,Reggie Sanders,Keith Lockhart,Juan Gonzalez,Quinton McCracken,Emil Brown,Randy Velarde,Darren Lewis,Eric Young,Marcus Jensen,Ron Gant,Tony Tarasco,Chan Perry,Kevin Brown,Matt Stairs,David Bell,Ron Coomer,Larry Sutton,Julio Mosquera,Ricky Ledee,John Valentin,Pokey Reese,Aaron Holbert,Deivi Cruz,Chris Widger,Kenny Lofton,Brooks Kieschnick,Robinson Cancel,Manny Alexander,Dave Berg,Al Martin,Midre Cummings,Israel Alcantara,Bruce Aven,Rickey Henderson HOF,Pedro Swann,David Newhan,Sandy Martinez,Mandy Romero,Tim Raines HOF,Mark Smith,Rey Sanchez,Curtis Pride,Andres Galarraga,Jason Wood,Ernie Young,Matt Walbeck,Chad Allen,Eddie Perez,Troy O'Leary,Donzell McDonald,Ruben Rivera,Darren Bragg,Pat Borders,Sal Fasano,,
KNN5,-0.12,0.3,-0.42,-0.1,0.32,-0.62,0.02,-0.84,-0.22,0.14,1.48,-0.36,0.42,-6.14,-0.18,0.3,0.6,0.16,0,-0.2,-0.18,0.96,0.22,0.02,-0.44,0.74,0.14,0.26,-0.26,1.26,0.099999996,0.72,-0.76,4.24,0.1,-0.32,0.36,-0.06,0.26,-0.24,-0.18,-0.04,0.38,-0.5,0.72,0.1,-1.28,-0.1,-0.32,-0.34,0,2.52,0.48,-0.02,0.1,0.02,0.58,-6.34,-0.02,-0.04,0.04,0.28,-2.02,0.3,-0.36,0.54,-0.1,0.3,-0.16,0.28,2.34,0.06,-1.28,0,-0.08,-5.34,-0.02,-0.18,-0.26,2,-0.96,-0.28,0.16,-1.06,0.26,-1.42,-0.28,-0.24,-5.84,0.4,0.3,0.5,-6.04,0.18,0.7,0.06,-0.02,0.02,-1.5,-0.18,0.04,-0.1,0.62,0.52,-0.94,3.74,-0.3,-0.9,0.26,-4.54,0.02,-0.62,0.06,-1.08,-0.02,1.18,-0.02,-0.02,-0.44,,
KNN10,-0.02,0.25,-0.33,-0.14,-0.09,-0.78,0.03,-0.89,-0.1,-0.05,1.02,-0.33,0.45,-4.71,-0.22,0.35,0.59,-0.02,0,-0.35,-0.19,0.36,0.16,-0.05,-0.39,0.54,0.33,0.14,-0.13,1.38,0.23,0.53,-0.86,3.54,-0.11,-0.24,-0.08,-0.32,-0.12,-0.26,-0.26,-0.03,0.86,-0.5,0.64,0.39,-1.3,-0.12,-1.1,-0.7,-0.66,2.54,0.35,-0.02,0.32,-0.74,-0.01,-4.91,-0.07,-0.12,0.08,0.31,-1.61,0.03,-0.62,0.61,0.03,-0.07,-0.2,0.25,2.28,0.04,-0.76,-0.12,0.54,-4.63,-0.03,-0.16,0.11,2.06,-1.29,-0.24,0.16,-1.13,0.32,-0.85,-0.28,-0.36,-4.41,0.47,0.1,0.39,-4.61,0.31,0.39,0.09,-0.16,0.06,-1.35,-0.2,0.12,-0.1,0.41,0.62,-0.49,3.62,-0.44,-0.65,0.36,-5.26,0.01,-0.32,-0.07,-0.59000001,-0.01,1.18,0.01,0.03,-0.36,,
KNN15,0.006667,0.2933333,-0.486667,-0.086667,-0.146667,-0.706667,0.14,-1.57333,-0.306667,-0.14,0.98,-0.293333,0.506667,-5.05333,-0.266667,0.306667,0.48,-0.1,0.02,-0.4,-0.2,0.313333,0.32,0,-0.3666667,0.78,0.086667,0.166667,0.02,1.41333,0.10666666,0.26,-0.86,3.32,-0.12,-0.293333,0.326667,-0.30667,-0.16,-0.193333,-0.22,-0.0266667,0.92,-0.48,0.29333,0.36,-1.02,-0.1333333,-1.02667,-0.586667,-0.30667,3.14667,0.473333,0.013333,0.3933333,-0.58667,-0.26667,-5.25333,-0.086667,-0.013333,0.033333,0.366667,-1.2333334,0.026667,-0.6,0.56,-0.206667,-0.16,-0.173333,0.1933333,2.12,0.0666667,-0.55333,-0.086667,0.3666667,-4.16667,-0.046667,-0.06,0.07333,1.98667,-1.22,-0.233333,0.08,-1.06,0.246667,-0.553333,-0.2866667,-0.74,-4.96,0.39333,-0.0333333,0.233333,-4.86667,0.106667,0.4,0.08,-0.22,0.1466667,-1.26,-0.1866667,0.10666667,-0.08,0.24,0.6133333,-0.513333,3.573333,-0.326667,-0.473333,0.36,-4.79333,0.0066667,-0.366667,-0.0466667,-0.993333,-0.02,0.813333,0.02,0.0533333,-0.3,,
NN25,0.113426705,0.123328956,-0.180844576,0.354942304,-0.306887835,-0.576623458,-0.338088596,-5.751515468,-0.637597503,-0.281327938,0.685288274,-0.444327144,-1.078615835,-2.172085502,0.052372051,0.294024722,0.909905829,-0.075235088,-0.017241159,-0.164140343,-0.175556251,-0.805288983,-0.020403148,-0.609104499,0.115996689,-0.146977415,-0.044834337,0.317770938,-2.488974373,-0.406793438,0.151082117,0.209971334,-1.168613328,1.811069613,-0.779429119,-0.372474018,0.199104602,-0.969294389,-1.053838535,-0.401168349,-0.51337154,0.079467218,-0.058282582,-0.517241159,-0.638457843,0.192806849,-2.858814442,0.033625501,-1.636173762,-0.943986862,-1.017463887,1.519626268,-0.144214296,-0.117862458,-0.567431713,-2.318488317,-0.83356121,-4.402806969,-0.050356342,-0.300610202,0.195184237,-0.528679821,-1.70044147,0.216744451,-0.112124847,-0.39308121,0.163878082,-1.575254264,-0.266249892,0.363755949,2.16265496,-0.201211417,-2.224614102,-0.159278137,-0.102043632,-1.752547331,-0.255963207,-0.532678224,-0.063285435,1.68004237,-1.160779447,-0.685703239,-0.184842169,-1.478703452,0.038057765,-0.692807003,-0.076911275,-0.941771268,-1.320494638,-1.234948672,-0.67290269,0.218326447,-0.832823736,-0.08788658,0.018682681,0.568647585,-0.352202834,0.689371809,-1.710224433,-0.142573023,-0.32559773,-0.117241159,0.324641033,0.486580509,-0.530279406,3.971853663,-0.186400292,-0.796341752,0.295615993,-1.566590563,-0.140849416,-0.529930589,-0.197613864,-1.712853977,-0.252156095,0.346517848,-0.250079232,0.14399573,-0.367807791,,
NN50,0.05790211,0.228842676,-0.527077004,-0.046112444,-0.20662995,-0.751488001,-0.083267089,-1.350101057,0.643599027,-0.015232659,0.572958061,-0.600208926,0.498604493,-1.963398858,-0.170997273,-0.023407088,0.048056088,-0.083113302,-0.009502895,0.000483068,-0.075461925,-0.836831237,0.328710692,-0.48863861,-0.332359463,0.145098386,1.076697492,0.26523756,0.403450627,0.077636728,0.17719865,-0.098073021,-0.852966038,3.650012991,-0.624037049,-0.553772046,0.18414651,-0.664248721,-0.700517738,-0.451182211,-0.592306212,0.002901897,0.059093086,-0.509502895,0.118735503,0.280091068,-2.305701292,0.011145136,-1.079560949,-0.964573999,-0.985259491,0.384869505,-0.539311872,-0.08334208,0.573596788,-1.926626392,0.923586912,-2.345789041,0.026253059,-0.98549661,-0.10736037,-0.240312322,-1.455461777,-0.806565339,-0.374946704,0.444154072,-0.874999825,0.053038451,-0.427617224,0.237798711,1.997713877,-0.701662445,-1.327982362,-0.032077165,0.372651453,-0.876628666,-0.106155648,-0.099833148,0.578352335,1.691454624,-1.178925435,-0.254036499,0.053497841,-0.93878887,0.005253478,-1.224894859,-0.153281341,0.395803457,-2.735959132,-0.341065366,0.088420226,0.303013135,-0.858989968,-0.410135855,0.74691724,-0.120073575,-0.399905342,-0.052010206,-1.408458613,-0.074893918,0.00121313,-0.109502895,0.031537168,0.608581648,-0.453562881,3.976805956,-0.108266335,-0.47649631,0.668619314,-1.371832165,-0.017903466,-0.43282023,-0.118326712,-1.615347594,-0.117356418,0.394151526,-0.114736252,-0.090715228,-0.404351095,,
NN100,-0.02784834,0.258775298,-0.393905635,0.492998917,0.172872443,-0.97432265,-0.165951502,4.617602735,0.362095708,-0.058329431,0.842986213,-0.303375925,0.156606886,0.45162818,0.598284262,0.527250528,0.827760982,0.007966902,0.023066418,-0.02521254,-0.081999342,0.609346689,-0.277724635,-0.543341152,-0.249705668,0.888053091,1.182366006,0.518316534,-1.01429992,1.988530932,0.118833404,1.091453356,-0.536733936,4.423153839,0.14738435,-0.1039477,0.245939457,0.471900446,-0.018541578,-0.264539976,-0.740649653,-0.048457549,0.389107284,-0.476933582,0.813608662,0.239692977,-0.764682713,-0.183667718,0.326567084,-0.38022954,0.09023124,1.44416017,0.424701586,-0.017546298,0.138633423,-0.758684303,1.351472134,-0.951250497,-0.277723524,-0.06276644,-0.1734662,0.244515026,-0.950383002,0.563908133,-0.374586407,0.587269747,0.515796684,1.013666429,-0.111069426,0.130029721,2.030388553,0.149865321,-0.451923019,0.051961997,0.191722217,-0.854066399,-0.070474869,-0.045537955,1.268029109,2.696969395,-0.091992201,-0.013894433,0.178714513,-0.430087094,0.092877505,-0.114345143,-0.288693726,0.13425595,2.148175529,0.484287817,-0.307189507,0.462493322,1.615075573,0.551422744,0.793712393,0.368268062,-0.359894101,0.379617175,-0.765523308,-0.102575227,0.036120942,-0.076933582,0.301574377,0.468279461,0.040288136,4.319503443,-0.47801124,0.015167827,0.47274963,0.519144356,-0.02818705,-0.106433279,0.037892138,-0.886639696,0.010460553,0.815005107,0.033115054,0.074930002,-0.208587322,,
BAY0.01,-0.036857651,0.235651472,-0.530967261,0.236697525,-0.171426965,-0.680864317,-0.065918776,0.533863941,-0.490199404,-0.16770167,0.631266061,-0.526404092,0.199838518,-0.743327433,0.155652352,0.361293192,0.633941522,-0.101943524,-0.054207649,-0.027084614,-0.206404764,-0.611092917,-0.106073104,-0.547499992,-0.439394145,0.376127265,0.526059134,0.282370974,-0.483531654,0.522977099,0.120332322,0.664534947,-0.75741271,3.234098886,-0.298333198,-0.326946056,0.190857079,-0.224641231,-0.558221896,-0.368165401,-0.557579271,-0.047936567,0.077435604,-0.554207649,0.42385026,0.247283496,-2.068980463,-0.178536606,-0.66775056,-0.67896452,-0.461021639,1.929174041,-0.13889991,-0.075772488,-0.129195859,-1.574412903,0.530277899,-2.107153873,-0.126862623,-0.515581404,-0.012286753,0.002274453,-1.347641012,0.247427171,-0.125525582,0.217292754,-0.051771181,-0.247509582,-0.280288661,0.138424364,2.112702371,-0.263489266,-1.07712386,-0.001716806,0.031440181,-1.150951437,-0.059916813,-0.12808562,0.235064622,2.502360914,-0.755759449,-0.029663481,0.063343499,-0.757869155,0.020870116,-0.223090657,-0.314068434,-0.150879944,-0.033495706,0.011473486,-0.212332294,0.295623203,0.600410375,0.032890918,0.518155345,0.059565862,-0.355094521,0.017423932,-1.074193316,-0.229539839,-0.020266521,-0.154207649,0.214870054,0.509444547,-0.47716817,3.945935835,-0.226066708,-0.519785973,0.281318169,-0.716335461,0.006912786,-0.375352434,-0.053238362,-1.059483658,-0.063892175,0.426040727,-0.065109003,-0.050736753,-0.322751845,,
BAY1e-06,-0.036857645,0.235651471,-0.530967271,0.236697526,-0.17142698,-0.680864321,-0.065918779,0.533863959,-0.490199413,-0.167701674,0.631266063,-0.526404091,0.199838509,-0.743327438,0.155652347,0.361293192,0.633941533,-0.10194353,-0.05420764,-0.027084621,-0.206404755,-0.611092915,-0.106073105,-0.547499993,-0.439394152,0.376127275,0.526059147,0.282370969,-0.483531665,0.522977066,0.120332316,0.664534958,-0.757412723,3.234098872,-0.298333189,-0.326946062,0.19085709,-0.224641237,-0.558221907,-0.3681654,-0.557579272,-0.047936566,0.077435633,-0.55420764,0.423850247,0.247283496,-2.068980446,-0.178536602,-0.667750559,-0.67896453,-0.46102162,1.929174068,-0.1388999,-0.075772486,-0.129195867,-1.574412891,0.530277888,-2.107153885,-0.126862629,-0.515581391,-0.01228675,0.002274462,-1.34764102,0.247427157,-0.125525592,0.217292755,-0.051771174,-0.247509614,-0.280288664,0.138424367,2.112702371,-0.263489261,-1.077123853,-0.001716805,0.031440167,-1.150951432,-0.059916808,-0.12808563,0.235064615,2.502360905,-0.755759453,-0.029663481,0.063343497,-0.757869197,0.020870112,-0.223090655,-0.314068425,-0.150879957,-0.033495666,0.011473457,-0.212332299,0.295623195,0.600410335,0.032890921,0.518155321,0.059565862,-0.355094521,0.017423929,-1.074193341,-0.22953983,-0.02026653,-0.15420764,0.214870053,0.509444537,-0.477168167,3.945935836,-0.226066711,-0.519785986,0.281318161,-0.716335466,0.006912759,-0.375352435,-0.053238362,-1.059483677,-0.063892178,0.426040731,-0.065109009,-0.05073676,-0.32275185,,
BAY1e-11,-0.036857645,0.235651471,-0.530967271,0.236697526,-0.17142698,-0.680864321,-0.065918779,0.533863959,-0.490199413,-0.167701674,0.631266063,-0.526404091,0.199838509,-0.743327438,0.155652347,0.361293192,0.633941533,-0.10194353,-0.05420764,-0.027084621,-0.206404755,-0.611092915,-0.106073105,-0.547499993,-0.439394152,0.376127275,0.526059147,0.282370969,-0.483531665,0.522977066,0.120332316,0.664534958,-0.757412723,3.234098872,-0.298333189,-0.326946062,0.19085709,-0.224641237,-0.558221907,-0.3681654,-0.557579272,-0.047936566,0.077435633,-0.55420764,0.423850247,0.247283496,-2.068980446,-0.178536602,-0.667750559,-0.67896453,-0.46102162,1.929174068,-0.1388999,-0.075772486,-0.129195867,-1.574412891,0.530277888,-2.107153885,-0.126862629,-0.515581391,-0.01228675,0.002274462,-1.34764102,0.247427157,-0.125525592,0.217292755,-0.051771174,-0.247509614,-0.280288664,0.138424367,2.112702371,-0.263489261,-1.077123853,-0.001716805,0.031440167,-1.150951432,-0.059916808,-0.12808563,0.235064615,2.502360905,-0.755759453,-0.029663481,0.063343497,-0.757869197,0.020870112,-0.223090655,-0.314068425,-0.150879957,-0.033495666,0.011473457,-0.212332299,0.295623195,0.600410335,0.032890921,0.518155321,0.059565862,-0.355094521,0.017423929,-1.074193341,-0.22953983,-0.02026653,-0.15420764,0.214870053,0.509444537,-0.477168167,3.945935836,-0.226066711,-0.519785986,0.281318161,-0.716335466,0.006912759,-0.375352435,-0.053238362,-1.059483677,-0.063892178,0.426040731,-0.065109009,-0.05073676,-0.32275185,,
Avg Diff,,Avg Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN5,-0.202184874,0.019440853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN10,-0.190756303,0.018341952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN15,-0.203137369,0.019532439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN25,-0.401300945,0.038586629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN50,-0.197079405,0.018949943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN100,0.277712068,0.026703084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY0.01,-0.057053072,0.005485872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY1e-06,-0.057053074,0.005485873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY1e-11,-0.057053074,0.005485873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minWAR,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxWAR,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
