NAME,Jimmy Osting,Chris Donnels,Travis Smith,Jesse Orosco,Jose Rijo,Michael Jackson,John Smoltz HOF,Mike James,Todd Jones,Steve Reed,Ismael Valdez,Rich Rodriguez,Chan Ho Park,Jay Powell,T.J. Mathews,Mark Wohlers,Shigetoshi Hasegawa,Dennis Cook,Rick White,Justin Thompson,Ricky Bottalico,Steve Karsay,Anthony Telford,Terry Adams,Hideo Nomo,Jason Christiansen,David Wells,Donne Wall,Toby Borland,Josias Manzanillo,Jason Isringhausen,Hector Carrasco,Alberto Reyes,Mike Morgan,John Burkett,Ed Vosberg,Joey Hamilton,Rudy Seanez,Aaron Sele,Brian Boehringer,Juan Acevedo,Hipolito Pichardo,Alan Benes,Mike Williams,Dave Burba,Joey Eischen,Jason Schmidt,Pedro Astacio,Chris Hammond,Mike Holtz,Paul Byrd,Dan Miceli,Eddie Oropesa,Rick Helling,Sterling Hitchcock,Albie Lopez,David Weathers,Chris Brock,Jose Mercedes,Alan Embree,Scott Service,Ron Villone,James Baldwin,Rodney Myers,Mike Thurman,Joe Borowski,Amaury Telemaco,Bill Pulsipher,Manny Aybar,Dennis Springer,Carlos Almanzar,Aaron Small,Tom Martin,Will Cunnane,Todd Williams,C.J. Nitkowski,Joe Roa,Trever Miller,Brian Meadows,Robert Ellis,Jimmy Haynes,Dave Maurer,Todd Van Poppel,Pat Mahomes,Chris Nichting,Julio Santana,Matt DeWitt,Leo Estrella,Kevin Tolar,Peter Munro,Dan Serafini,Pete Walker,Dan Smith,Jason Boyd,Andrew Lorraine,Ryan Glynn,Brian Powell,Nerio Rodriguez,Everett Stull,Jamie Walker,Brian Shouse,Kirk Bullinger,David Lundquist,Matt Miller,Kevin Beirne,Gabe Molina,Jonathan Johnson,Jay Tessmer,Mark Watson,Mike Porzio,Rodrigo Lopez,Bryan Corey,Tim Harikkala,Craig Dingman,Ben Ford,Juan Alvarez,Jason Phillips,Brandon Villafuerte,John Mabry
ACTUAL,0.1,0,-1.2,0.3,0.4,0.4,0.8,-0.3,0,0.7,2.2,0,4.1,1.1,0.1,0.2,0.5,0.1,-0.1,-0.2,0.2,2.4,-0.5,2,3.2,0.8,1.3,0,-0.3,1.5,1.9,0.3,0.2,0.3,4.8,0.3,-0.5,0.8,2.5,0.6,0.1,-0.1,-0.3,1.1,-0.9,0.1,2.1,1.9,2.7,-0.1,1.4,-0.5,-0.1,2,0.2,1.1,2.6,0,-0.5,-1.2,0.2,-0.7,1.8,-0.3,0.7,-0.3,-0.9,-0.4,-0.5,0.5,0.2,0,-0.9,-0.4,0.1,-0.1,0.4,0.5,-0.6,-0.3,0.9,-0.2,2,0.1,-0.1,1.6,0.3,0.8,-0.1,1.4,-0.5,0.2,0.7,-1.3,-0.6,-0.4,-0.3,0,-0.1,0.8,0.1,-0.2,-0.1,-0.3,-0.4,0.3,-0.2,0,-0.5,0,3.8,0,0.9,-0.6,-0.3,0.4,0.5,-0.3,-0.2
KNN5,0.12,0.02,0.04,-0.26,-0.06,0.62,0.8,-0.22,-0.04,0.02,1.38,0.16,3.74,0.32,0.08,0.4,0.8,0.08,0.78,7.32,1.6,0.66,-0.1,1.94,4.54,0.22,0.46,-0.4,-0.2,2.16,2.1,1.42,0.56,0.02,4.38,0.02,-0.48,0.42,3.04,0.16,0.08,0.26,-0.28,0.44,0.94,0.02,1.96,0.26,6.66,0.56,0.3,0.6,0.36,2.86,-0.42,1.44,-0.08,0.04,2.5,0.38,7.72,0.26,-0.02,0.34,1.2,-0.24,1.06,-0.04,-0.52,-0.02,-0.06,2.74,-0.28,0.1,-0.18,0.18,-0.3,0.18,-0.86,-0.2,1.9,-0.22,1.54,0.4,-0.02,3.76,-0.22,-0.2,-0.06,-0.44,1.56,0.14,0.18,-0.14,2.26,-0.6,-0.22,-0.38,-0.06,-0.16,-2.98E-09,-0.12,-0.04,-0.12,-0.4,-0.12,-0.28,-0.22,-0.2,-0.34,-0.62,-0.1,-0.36,-0.48,-0.44,-0.26,-0.38,-0.44,-0.22
KNN10,0.13,0.01,-0.01,0.09,0.06,0.18,0.83,-0.12,0.09,0.11,1.65,0.18,4.41,0.26,0.16,0.63,0.61,0.04,0.71,7.41,1.18,0.61,-0.25,1.78,4.06,0.13,0.39,-0.25,-0.19,1.89,2.41,1.15,0.15,-0.13,4.03,0,-0.39,0.37,3.23,0.11,-0.09,0.19,-0.23,0.12,1.55,-0.12,1.44,0.29,7.41,0.45,0.77,0.39,0.17,2.47,-0.31,1.56,0.28,0.08,2.18,0.33,7.82,0.42,0.86,0.28,0.99,-0.23,0.52,-0.13,-0.44,0.04,0.04,2.09,-0.35,-0.07,-0.16,0.12,-0.27,0.24,-0.65,-0.16,1.65,-0.22,1.2,-0.09,0,3.24,-0.05,-0.15,0.02,-0.04,2.05,0.04,0.33,0.25,1.52,-0.53,-0.37,-0.37,-0.15,0.15,-0.14,-0.15,-0.11,-0.07,-0.4,-0.34,-0.25,-0.33,-0.24,-0.29,-0.61,-0.17,-0.37,-0.42,-0.34,-0.15,-0.34,-0.41,-0.31
KNN15,0.106667,0.0133333,-4.97E-10,0.0533333,0.04,0.24,0.866667,-0.0466667,0.0666667,0.0266667,1.51333,0.286667,4.86667,0.386667,0.1,0.66,0.586667,0.0333333,0.726667,6.52667,0.94,0.466667,-0.313333,1.89333,3.86667,0.08,0.32,-0.126667,-0.2,1.88667,2.36,1.08667,0.213333,-0.02,3.58,0.0733333,-0.393333,0.306667,2.99333,0.1,-0.08,0.1,-0.213333,0.186667,1.24,-0.146667,1.36,0.206667,6.16,0.453333,0.54,0.173333,0.0866667,2.7,-0.386667,1.50667,0.153333,-0.0666667,2.30667,0.473333,6.87333,0.42,0.686667,0.16,1,-0.246667,0.66,-0.0333333,-0.44,-0.133333,0.126667,1.9,-0.393333,0.1,-0.18,0.126667,-0.26,0.5,-0.426667,-0.2,1.32667,-0.2,1.47333,-0.00666667,0.0533333,3.58667,-0.02,-0.133333,-0.0266667,0.0466667,2.08,0.0333333,0.28,0.1,1.41333,-0.62,-0.306667,-0.346667,0.126667,-0.0533333,-0.16,-0.16,-0.0266667,-0.14,-0.393333,-0.306667,-0.286667,-0.28,-0.266667,-0.293333,-0.506667,-0.126667,-0.486667,-0.393333,-0.353333,-0.173333,-0.326667,-0.433333,-0.26
NN25,0.136997075,-0.028658378,-0.11522401,0.335105976,0.684171874,0.685645804,2.050088402,0.165756127,0.467818677,0.722738934,1.876116334,0.648114619,6.780957018,0.982560648,-0.027259026,0.3577473,0.697904046,0.909553362,0.677116122,9.886617089,1.208573294,0.860919065,-0.704226305,3.15723063,2.183367332,0.97411238,0.934907524,-0.075652541,-0.379408308,1.713746436,2.718721555,1.133268023,0.517099437,0.464251043,4.866402298,0.370399482,-0.559634793,0.434718349,3.971474357,0.435102555,0.650753934,0.021194501,-0.015120035,0.445948423,1.097402474,0.264541597,1.885133891,0.633175186,12.18264384,0.080378243,1.043855887,0.948170033,0.063120021,1.605655769,-0.402974529,1.202456409,0.613948793,0.655253998,1.195365208,0.48013794,3.808665726,0.124363735,0.658288985,0.097935278,1.100551859,-0.054158795,0.444354336,0.226212054,0.120941515,0.253668944,0.170334862,0.751240846,-0.608233872,-0.075633332,0.357407194,0.429438891,-0.678725076,0.540121133,-1.016498256,0.341737854,1.270362756,-0.321919492,0.51886164,0.54210876,-0.119119191,1.038389627,0.215058041,-0.318793073,0.435213948,-0.356360268,0.870846085,-0.194413211,0.044513126,-0.026249181,0.142538787,-0.673320711,-0.00805841,0.043955761,-0.092475664,-0.247899434,-0.26610133,-0.294911566,0.009542924,-0.230190146,-0.21547743,-0.411490703,-0.583681754,-0.474857158,-0.625457193,-0.280646167,-1.542841706,-0.495305294,-0.931065302,-0.669946593,-0.903590825,-0.291556137,-0.420521459,-0.501517966,-0.720409108
NN50,0.098984261,0.043146465,0.24528447,0.074881777,0.016214404,0.312177466,0.861612078,-0.090183532,0.299330403,0.104169582,1.134842221,-0.073069114,5.452619607,0.779968916,0.390043563,0.36104522,0.824307924,-0.349278625,1.244062942,8.155474445,0.400587904,0.772732653,-0.31662106,2.427562693,2.690941344,0.247998833,0.47735398,-0.35926894,-0.371482538,2.029285392,1.907868936,0.400150062,-0.053491816,0.015523068,5.417002621,0.486611413,-0.37731771,0.269388268,4.064151334,0.244581118,0.088778977,-0.262541697,-0.153223322,-0.12639338,0.092860549,0.040851981,0.622005407,0.432367955,7.343158729,0.372831557,0.56344614,0.400063633,0.371320917,0.768025394,-0.405831616,0.823949992,0.300127205,-0.020384531,-0.377210827,0.142660463,1.731391082,-0.275382712,0.452734924,0.090053372,0.207454601,-0.35432957,0.149003537,-0.578500796,-0.465346896,0.196455765,0.057395256,0.230441838,-0.477242072,-0.406518517,-0.147835765,0.264389215,-1.550641387,-0.917390849,-0.856530073,0.058375452,0.366856085,-0.630464377,0.801213581,-0.449052689,0.226988674,-1.163784198,-0.090163091,-0.331559157,0.48840805,-1.247970488,-2.417945083,0.081632293,-0.470291191,-0.013103562,-1.198347013,-0.86919081,-0.417120347,-0.57890229,-0.581067629,0.005381995,-0.323325568,-0.298719683,0.07823781,-0.392469348,-0.764454697,-0.739273803,-0.253391091,-0.499907252,-0.506842104,-0.512802322,-0.914396519,-0.397007258,-0.861142912,-0.442691851,-0.86744133,-0.858108278,-0.51598723,-0.6251441,-0.405639335
NN100,0.197740067,-0.062718027,0.114994805,-0.139661799,-0.006019256,0.543028227,1.366926109,-0.019840197,-0.14498167,0.418828632,1.65235982,0.480899657,5.054925733,0.709679178,0.296389596,0.121544434,0.487681727,-0.494285273,0.734158504,10.10157526,0.675091698,0.364778422,-0.273110684,2.825485778,3.367273791,0.499256675,0.695921858,-0.475452154,-0.17132353,2.443707572,2.599441346,0.648085831,-0.028945039,0.191280224,4.655963613,0.423759783,-0.410267959,0.122975417,4.5496,-0.176998069,-0.115083296,0.203993297,-0.311590562,0.221675745,0.510914258,-0.241611465,1.633025717,0.50818777,11.03224711,0.316006515,0.713070255,0.486062993,0.338764309,1.205546595,-0.459925985,1.0789083,0.27521276,-0.105338806,0.735627148,0.056484225,5.179620798,-0.251269366,0.707219554,-0.042823928,0.74000995,-0.525168295,0.482153646,-0.183270104,-0.381542394,0.293504673,-0.066694387,1.972159263,-0.341476157,-0.152946158,0.078880663,0.594628697,-0.231581648,0.402316765,-0.806880856,0.643261692,1.02426921,-0.212970108,1.718541229,0.136639929,-0.132041476,1.017389015,-0.138644248,-0.015525718,-0.147752206,0.024769817,0.408338407,0.163242665,0.041334961,-0.335552862,0.124295356,-0.425894989,-0.415579212,-0.318547815,-0.812725511,-0.328484337,-0.219641276,-0.314631978,-0.310767898,-0.224660407,-0.388673673,-0.594854976,-0.440696594,-0.209479592,-0.257040979,-0.311469117,-0.864039063,-0.169992773,-0.299313731,-0.407146932,-0.158847636,-0.283115819,-0.330036822,-0.46777284,-0.696243118
BAY0.01,0.006685207,-0.030464973,0.071572327,-0.237071432,0.041365775,0.536478693,1.351838457,-0.0535247,-0.131485058,0.212561112,1.519534174,0.201832476,5.565018267,0.689964902,0.393511171,0.456102363,0.680469343,-0.357072354,0.963287157,9.182842448,0.746772318,0.513674471,-0.475926844,3.098883937,3.250627028,0.297068502,0.852312095,-0.277747204,-0.33681084,2.09842746,2.282184388,0.820150104,0.148523862,0.252218785,5.030433205,0.302892026,-0.224172316,0.295483565,4.021765342,0.152257458,0.070672253,0.199507026,-0.192770526,0.181567955,0.644540742,0.065952766,1.662703803,0.653466021,8.737548857,-0.152528187,0.830344818,0.425898183,-0.014639913,1.199472298,0.045213517,1.276699839,0.288812597,0.208682402,0.786692983,0.277387754,3.452038923,0.19516137,0.827715506,0.15479416,0.635117751,-0.623668853,0.630898219,-0.345722812,-0.365549909,0.252370603,-0.142132173,1.025815706,-0.267662042,-0.110338353,-0.123026895,0.159493691,-0.194189532,-0.321024841,-0.824243735,0.426492443,0.87204409,-0.211664891,1.345265713,0.390132489,-0.113916,0.490469043,-0.11839582,-0.152692269,0.001581325,-0.100788166,-0.228911167,0.17572128,0.062600216,0.067300236,-0.267841122,-0.654538147,-0.352061735,0.125292123,-0.358360648,-0.403531155,-0.300112799,-0.128994369,0.173026472,-0.208074376,-0.328972079,-0.588835222,-0.148786295,-0.199856894,-0.239015673,-0.518028703,-0.798799241,-0.16127072,-0.116594915,-0.381811804,-0.222851372,-0.70454421,-0.312995625,-0.513403974,-1.180105346
BAY1e-06,0.006685204,-0.030464977,0.071572321,-0.237071394,0.041365759,0.536478696,1.351838474,-0.053524692,-0.13148507,0.212561128,1.51953423,0.201832494,5.565018284,0.689964888,0.39351116,0.456102343,0.680469368,-0.357072351,0.963287168,9.182842559,0.746772352,0.513674486,-0.475926842,3.098883907,3.250627077,0.297068502,0.852312111,-0.27774718,-0.336810838,2.098427462,2.282184362,0.820150087,0.148523844,0.252218754,5.030433243,0.30289203,-0.224172301,0.295483566,4.021765245,0.152257478,0.070672253,0.199507004,-0.192770544,0.181567928,0.644540767,0.065952759,1.662703756,0.653466005,8.737548994,-0.152528136,0.830344817,0.425898171,-0.014639917,1.199472303,0.045213515,1.276699891,0.288812597,0.208682368,0.786693076,0.277387789,3.452038931,0.195161414,0.827715531,0.154794147,0.635117798,-0.623668846,0.630898238,-0.345722814,-0.365549922,0.252370602,-0.142132168,1.025815585,-0.267662062,-0.11033836,-0.123026915,0.15949368,-0.194189542,-0.321024872,-0.824243681,0.426492438,0.87204419,-0.211664903,1.345265691,0.390132447,-0.113916001,0.490469037,-0.118395812,-0.152692279,0.001581312,-0.100788207,-0.228911208,0.175721269,0.062600285,0.06730022,-0.267841088,-0.654538116,-0.352061727,0.125292132,-0.358360638,-0.403531133,-0.300112793,-0.128994383,0.173026475,-0.208074384,-0.328972095,-0.588835236,-0.14878631,-0.199856912,-0.239015672,-0.51802871,-0.798799212,-0.161270729,-0.116594921,-0.381811812,-0.222851376,-0.704544197,-0.312995635,-0.513403981,-1.180105366
